code,section,date,time,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A012450,KOSPI,20210622,,1437.0,47250.0,47300.0,47250.0,47250.0,0.0,18050000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1436.0,47300.0,47300.0,47250.0,47250.0,0.0,7320000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1435.0,47300.0,47300.0,47250.0,47300.0,0.0,9130000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1434.0,47250.0,47350.0,47250.0,47350.0,0.0,36800000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1433.0,47250.0,47300.0,47250.0,47250.0,0.0,15400000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1432.0,47300.0,47300.0,47300.0,47300.0,0.0,16230000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1431.0,47300.0,47350.0,47250.0,47300.0,0.0,44880000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1430.0,47300.0,47300.0,47250.0,47250.0,0.0,8130000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1429.0,47300.0,47300.0,47300.0,47300.0,0.0,52030000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1428.0,47300.0,47350.0,47300.0,47300.0,0.0,11920000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1427.0,47300.0,47350.0,47300.0,47350.0,0.0,430000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1426.0,47250.0,47350.0,47250.0,47350.0,0.0,21410000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1425.0,47250.0,47300.0,47250.0,47300.0,0.0,14520000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1424.0,47300.0,47300.0,47250.0,47250.0,0.0,19140000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1423.0,47350.0,47350.0,47300.0,47300.0,0.0,4030000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1422.0,47350.0,47400.0,47350.0,47350.0,0.0,9940000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1421.0,47450.0,47450.0,47300.0,47350.0,0.0,41110000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1420.0,47450.0,47450.0,47400.0,47400.0,0.0,8440000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1419.0,47400.0,47400.0,47400.0,47400.0,0.0,8910000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1418.0,47450.0,47450.0,47400.0,47450.0,0.0,14240000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1417.0,47450.0,47500.0,47400.0,47500.0,0.0,10910000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1416.0,47400.0,47450.0,47400.0,47400.0,0.0,8340000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1415.0,47450.0,47450.0,47400.0,47400.0,0.0,10390000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1414.0,47400.0,47450.0,47400.0,47400.0,0.0,35830000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1413.0,47300.0,47550.0,47250.0,47400.0,0.0,60850000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1412.0,47350.0,47500.0,47300.0,47350.0,0.0,169280000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1411.0,47400.0,47450.0,47350.0,47350.0,0.0,32550000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1410.0,47400.0,47450.0,47400.0,47450.0,0.0,1520000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1409.0,47450.0,47450.0,47400.0,47400.0,0.0,4460000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1408.0,47450.0,47450.0,47450.0,47450.0,0.0,20970000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1407.0,47450.0,47450.0,47450.0,47450.0,0.0,570000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1406.0,47400.0,47450.0,47400.0,47450.0,0.0,6680000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1405.0,47400.0,47400.0,47350.0,47400.0,0.0,28000000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1404.0,47450.0,47450.0,47400.0,47400.0,0.0,11710000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1403.0,47450.0,47500.0,47450.0,47450.0,0.0,25670000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1402.0,47450.0,47500.0,47450.0,47500.0,0.0,9870000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1401.0,47500.0,47550.0,47450.0,47450.0,0.0,26920000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1400.0,47500.0,47500.0,47500.0,47500.0,0.0,4890000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1359.0,47500.0,47550.0,47500.0,47500.0,0.0,6370000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1358.0,47450.0,47600.0,47400.0,47500.0,0.0,45440000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1357.0,47400.0,47450.0,47400.0,47450.0,0.0,2230000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1356.0,47450.0,47450.0,47400.0,47400.0,0.0,4400000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1355.0,47550.0,47550.0,47450.0,47450.0,0.0,16820000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1354.0,47550.0,47550.0,47500.0,47550.0,0.0,6560000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1353.0,47400.0,47650.0,47400.0,47500.0,0.0,53260000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1352.0,47400.0,47400.0,47400.0,47400.0,0.0,90000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1351.0,47450.0,47450.0,47450.0,47450.0,0.0,29760000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1350.0,47450.0,47450.0,47400.0,47450.0,0.0,9440000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1349.0,47400.0,47450.0,47350.0,47400.0,0.0,18390000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1348.0,47450.0,47450.0,47350.0,47400.0,0.0,34610000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1347.0,47500.0,47500.0,47400.0,47400.0,0.0,10480000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1346.0,47400.0,47450.0,47400.0,47450.0,0.0,5170000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1345.0,47400.0,47400.0,47350.0,47400.0,0.0,43960000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1344.0,47400.0,47400.0,47350.0,47350.0,0.0,78300000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1343.0,47400.0,47400.0,47350.0,47400.0,0.0,8520000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1342.0,47400.0,47400.0,47350.0,47400.0,0.0,12980000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1341.0,47400.0,47400.0,47400.0,47400.0,0.0,8580000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1340.0,47400.0,47400.0,47400.0,47400.0,0.0,10010000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1339.0,47400.0,47400.0,47350.0,47350.0,0.0,2600000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1338.0,47400.0,47450.0,47350.0,47350.0,0.0,24920000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1337.0,47400.0,47400.0,47350.0,47350.0,0.0,17810000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1336.0,47400.0,47400.0,47350.0,47350.0,0.0,9720000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1335.0,47450.0,47450.0,47400.0,47400.0,0.0,12610000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1334.0,47450.0,47450.0,47400.0,47400.0,0.0,17450000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1333.0,47500.0,47600.0,47450.0,47500.0,0.0,65970000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1332.0,47550.0,47550.0,47500.0,47500.0,0.0,27470000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1331.0,47550.0,47550.0,47500.0,47550.0,0.0,13830000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1330.0,47550.0,47600.0,47550.0,47600.0,0.0,7800000.0,0.0,0.0,0.0,0.0
