code,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A012450,KOSPI,20210622,1423,47350,47350,47300,47300,0,4030000,0,0,0.0,0
A012450,KOSPI,20210622,1422,47350,47400,47350,47350,0,9940000,0,0,0.0,0
A012450,KOSPI,20210622,1421,47450,47450,47300,47350,0,41110000,0,0,0.0,0
A012450,KOSPI,20210622,1420,47450,47450,47400,47400,0,8440000,0,0,0.0,0
A012450,KOSPI,20210622,1419,47400,47400,47400,47400,0,8910000,0,0,0.0,0
A012450,KOSPI,20210622,1418,47450,47450,47400,47450,0,14240000,0,0,0.0,0
A012450,KOSPI,20210622,1417,47450,47500,47400,47500,0,10910000,0,0,0.0,0
A012450,KOSPI,20210622,1416,47400,47450,47400,47400,0,8340000,0,0,0.0,0
A012450,KOSPI,20210622,1415,47450,47450,47400,47400,0,10390000,0,0,0.0,0
A012450,KOSPI,20210622,1414,47400,47450,47400,47400,0,35830000,0,0,0.0,0
A012450,KOSPI,20210622,1413,47300,47550,47250,47400,0,60850000,0,0,0.0,0
A012450,KOSPI,20210622,1412,47350,47500,47300,47350,0,169280000,0,0,0.0,0
A012450,KOSPI,20210622,1411,47400,47450,47350,47350,0,32550000,0,0,0.0,0
A012450,KOSPI,20210622,1410,47400,47450,47400,47450,0,1520000,0,0,0.0,0
A012450,KOSPI,20210622,1409,47450,47450,47400,47400,0,4460000,0,0,0.0,0
A012450,KOSPI,20210622,1408,47450,47450,47450,47450,0,20970000,0,0,0.0,0
A012450,KOSPI,20210622,1407,47450,47450,47450,47450,0,570000,0,0,0.0,0
A012450,KOSPI,20210622,1406,47400,47450,47400,47450,0,6680000,0,0,0.0,0
A012450,KOSPI,20210622,1405,47400,47400,47350,47400,0,28000000,0,0,0.0,0
A012450,KOSPI,20210622,1404,47450,47450,47400,47400,0,11710000,0,0,0.0,0
A012450,KOSPI,20210622,1403,47450,47500,47450,47450,0,25670000,0,0,0.0,0
A012450,KOSPI,20210622,1402,47450,47500,47450,47500,0,9870000,0,0,0.0,0
A012450,KOSPI,20210622,1401,47500,47550,47450,47450,0,26920000,0,0,0.0,0
A012450,KOSPI,20210622,1400,47500,47500,47500,47500,0,4890000,0,0,0.0,0
A012450,KOSPI,20210622,1359,47500,47550,47500,47500,0,6370000,0,0,0.0,0
A012450,KOSPI,20210622,1358,47450,47600,47400,47500,0,45440000,0,0,0.0,0
A012450,KOSPI,20210622,1357,47400,47450,47400,47450,0,2230000,0,0,0.0,0
A012450,KOSPI,20210622,1356,47450,47450,47400,47400,0,4400000,0,0,0.0,0
A012450,KOSPI,20210622,1355,47550,47550,47450,47450,0,16820000,0,0,0.0,0
A012450,KOSPI,20210622,1354,47550,47550,47500,47550,0,6560000,0,0,0.0,0
A012450,KOSPI,20210622,1353,47400,47650,47400,47500,0,53260000,0,0,0.0,0
A012450,KOSPI,20210622,1352,47400,47400,47400,47400,0,90000,0,0,0.0,0
A012450,KOSPI,20210622,1351,47450,47450,47450,47450,0,29760000,0,0,0.0,0
A012450,KOSPI,20210622,1350,47450,47450,47400,47450,0,9440000,0,0,0.0,0
A012450,KOSPI,20210622,1349,47400,47450,47350,47400,0,18390000,0,0,0.0,0
A012450,KOSPI,20210622,1348,47450,47450,47350,47400,0,34610000,0,0,0.0,0
A012450,KOSPI,20210622,1347,47500,47500,47400,47400,0,10480000,0,0,0.0,0
A012450,KOSPI,20210622,1346,47400,47450,47400,47450,0,5170000,0,0,0.0,0
A012450,KOSPI,20210622,1345,47400,47400,47350,47400,0,43960000,0,0,0.0,0
A012450,KOSPI,20210622,1344,47400,47400,47350,47350,0,78300000,0,0,0.0,0
A012450,KOSPI,20210622,1343,47400,47400,47350,47400,0,8520000,0,0,0.0,0
A012450,KOSPI,20210622,1342,47400,47400,47350,47400,0,12980000,0,0,0.0,0
A012450,KOSPI,20210622,1341,47400,47400,47400,47400,0,8580000,0,0,0.0,0
A012450,KOSPI,20210622,1340,47400,47400,47400,47400,0,10010000,0,0,0.0,0
A012450,KOSPI,20210622,1339,47400,47400,47350,47350,0,2600000,0,0,0.0,0
A012450,KOSPI,20210622,1338,47400,47450,47350,47350,0,24920000,0,0,0.0,0
A012450,KOSPI,20210622,1337,47400,47400,47350,47350,0,17810000,0,0,0.0,0
A012450,KOSPI,20210622,1336,47400,47400,47350,47350,0,9720000,0,0,0.0,0
A012450,KOSPI,20210622,1335,47450,47450,47400,47400,0,12610000,0,0,0.0,0
A012450,KOSPI,20210622,1334,47450,47450,47400,47400,0,17450000,0,0,0.0,0
A012450,KOSPI,20210622,1333,47500,47600,47450,47500,0,65970000,0,0,0.0,0
A012450,KOSPI,20210622,1332,47550,47550,47500,47500,0,27470000,0,0,0.0,0
A012450,KOSPI,20210622,1331,47550,47550,47500,47550,0,13830000,0,0,0.0,0
A012450,KOSPI,20210622,1330,47550,47600,47550,47600,0,7800000,0,0,0.0,0
A012450,KOSPI,20210622,1329,47550,47550,47550,47550,0,10080000,0,0,0.0,0
A012450,KOSPI,20210622,1328,47550,47600,47500,47500,0,14400000,0,0,0.0,0
A012450,KOSPI,20210622,1327,47600,47600,47550,47550,0,18740000,0,0,0.0,0
A012450,KOSPI,20210622,1326,47550,47600,47550,47600,0,10140000,0,0,0.0,0
A012450,KOSPI,20210622,1325,47500,47550,47500,47550,0,22950000,0,0,0.0,0
A012450,KOSPI,20210622,1324,47550,47550,47500,47550,0,19200000,0,0,0.0,0
A012450,KOSPI,20210622,1323,47550,47550,47500,47550,0,8080000,0,0,0.0,0
A012450,KOSPI,20210622,1322,47550,47600,47500,47500,0,42660000,0,0,0.0,0
A012450,KOSPI,20210622,1321,47500,47550,47500,47550,0,12780000,0,0,0.0,0
A012450,KOSPI,20210622,1320,47500,47550,47500,47500,0,10870000,0,0,0.0,0
