,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-21,63539.67578125,9374.8876953125,203.1102752685547,104.55733489990234,63664.75390625,9374.8876953125,208.75,104.55733489990234,65679.4609375,9407.2626953125,213.94000244140625,111.66666412353516,62758.1328125,9149.3896484375,208.02999877929688,103.86666870117188,65175.78515625,9162.5146484375,213.66000366210938,109.32866668701172,8321953.0,18069581956,37990400.0,241608000.0
2020-07-22,63941.83203125,9525.36328125,206.02926635742188,106.15533447265625,64067.6953125,9525.36328125,211.75,106.15533447265625,64772.83984375,9530.5185546875,212.3000030517578,108.4280014038086,61650.046875,9319.6533203125,208.38999938964844,104.13333129882812,62556.6640625,9375.080078125,209.1999969482422,106.5999984741211,5754175.0,16532254884,49605700.0,212416500.0
2020-07-23,66254.1875,9581.072265625,197.06805419921875,100.87133026123047,66384.609375,9581.072265625,202.5399932861328,100.87133026123047,66384.609375,9610.2470703125,210.9199981689453,112.5999984741211,63463.28125,9483.00390625,202.14999389648438,98.71800231933594,63765.48828125,9527.1416015625,207.19000244140625,111.93000030517578,6256169.0,18146399002,67457000.0,364927500.0
2020-07-24,65248.81640625,9536.892578125,195.861572265625,94.46666717529297,65377.25390625,9536.892578125,201.3000030517578,94.46666717529297,67089.7578125,9623.3369140625,202.86000061035156,97.66666412353516,64873.578125,9481.4541015625,197.50999450683594,91.10266876220703,65477.98828125,9585.5146484375,200.4199981689453,94.40066528320312,4505086.0,16552768325,39827000.0,290949000.0
2020-07-25,,9677.11328125,,,,9677.11328125,,,,9704.556640625,,,,9530.2119140625,,,,9539.4853515625,,,,16610070933,,
2020-07-26,,9905.1669921875,,,,9905.1669921875,,,,10023.8076171875,,,,9652.84765625,,,,9680.234375,,,,20507998997,,
2020-07-27,65650.96875,10990.873046875,198.34268188476562,102.63999938964844,65780.1953125,10990.873046875,203.85000610351562,102.63999938964844,66384.609375,11298.2216796875,203.97000122070312,103.19599914550781,64571.37109375,9903.9697265625,200.86000061035156,94.19999694824219,64672.10546875,9905.2177734375,201.47000122070312,95.66666412353516,2994588.0,35359749590,30160900.0,240730500.0
2020-07-28,66254.1875,10912.8232421875,196.5620880126953,98.43267059326172,66384.609375,10912.8232421875,202.02000427246094,98.43267059326172,67694.1640625,11204.3271484375,204.6999969482422,104.3133316040039,66183.140625,10632.6318359375,201.74000549316406,98.29467010498047,66888.28125,11017.4638671875,203.61000061035156,100.26667022705078,4333448.0,28766551142,23251400.0,237130500.0
2020-07-29,66656.3359375,11100.4677734375,198.54701232910156,99.94066619873047,66787.546875,11100.4677734375,204.05999755859375,99.94066619873047,67089.7578125,11304.3974609375,204.64999389648438,102.32066345214844,65477.98828125,10856.1416015625,202.00999450683594,99.13333129882812,66283.875,10912.953125,202.5,100.06666564941406,3069602.0,24617249715,19632600.0,141403500.0
2020-07-30,66756.875,11111.2138671875,198.391357421875,99.16600036621094,66888.28125,11111.2138671875,203.89999389648438,99.16600036621094,67895.640625,11169.3564453125,204.4600067138672,100.8826675415039,66787.546875,10895.455078125,199.57000732421875,98.06666564941406,67694.1640625,11099.8330078125,201.0,99.19999694824219,3056880.0,22857247901,25079600.0,114315000.0
2020-07-31,69069.234375,11323.466796875,199.47134399414062,95.38400268554688,69205.1953125,11323.466796875,205.00999450683594,95.38400268554688,69305.9296875,11415.8642578125,205.10000610351562,101.13666534423828,67593.4296875,10987.0537109375,199.00999450683594,94.73200225830078,67694.1640625,11110.2109375,204.39999389648438,101.0,5354807.0,23160469766,51044000.0,183123000.0
2020-08-01,,11759.5927734375,,,,11759.5927734375,,,,11794.775390625,,,,11239.6826171875,,,,11322.5703125,,,,26075670303,,
2020-08-02,,11053.6142578125,,,,11053.6142578125,,,,12034.14453125,,,,11018.1298828125,,,,11758.7646484375,,,,27410067336,,
2020-08-03,73593.421875,11246.3486328125,210.68983459472656,99.0,73738.2890625,11246.3486328125,216.5399932861328,99.0,73738.2890625,11453.0791015625,217.63999938964844,100.65399932861328,69910.34375,11012.4150390625,210.44000244140625,96.29199981689453,70011.078125,11043.7685546875,211.52000427246094,96.61333465576172,8124271.0,20271713443,78983000.0,132139500.0
2020-08-04,74397.7265625,11205.892578125,207.52764892578125,99.13333129882812,74544.171875,11205.892578125,213.2899932861328,99.13333129882812,77364.765625,11385.3818359375,214.77000427246094,101.82733154296875,72730.9375,11094.1455078125,210.30999755859375,97.46666717529297,76256.671875,11246.203125,214.1699981689453,99.6673355102539,8510625.0,21250197042,49280100.0,126225000.0
2020-08-05,74498.265625,11747.0224609375,207.18711853027344,99.00133514404297,74644.90625,11747.0224609375,212.94000244140625,99.00133514404297,74745.640625,11786.6171875,215.0,99.98933410644531,73033.140625,11158.28515625,211.57000732421875,97.88733673095703,73738.2890625,11203.8232421875,214.89999389648438,99.53266906738281,5340125.0,24411254471,28806400.0,74217000.0
2020-08-06,73191.28125,11779.7734375,210.50497436523438,99.30533599853516,73335.3515625,11779.7734375,216.35000610351562,99.30533599853516,75047.8515625,11902.3359375,216.3699951171875,101.15399932861328,72025.7890625,11598.7138671875,211.5500030517578,98.48400115966797,72227.2578125,11749.87109375,212.33999633789062,99.38866424560547,9177005.0,23400740340,32656800.0,89884500.0
2020-08-07,70979.4609375,11601.47265625,206.73953247070312,96.84733581542969,71119.171875,11601.47265625,212.47999572753906,96.84733581542969,74544.171875,11898.0380859375,215.6999969482422,99.98332977294922,70615.4921875,11408.59375,210.92999267578125,94.33399963378906,74141.234375,11778.89453125,214.85000610351562,99.96932983398438,9426237.0,23132312867,27820400.0,133446000.0
2020-08-08,,11754.0458984375,,,,11754.0458984375,,,,11800.064453125,,,,11558.431640625,,,,11604.5537109375,,,,17572057837,,
