,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2019-11-26,37723.1171875,15150.0,39650.0,15150.0,39750.0,15150.0,39100.0,14950.0,39150.0,15050.0,191050,414141
2019-11-27,37865.828125,15300.0,39800.0,15300.0,40350.0,15450.0,39400.0,15100.0,39950.0,15250.0,203747,417421
2019-11-28,36676.5703125,15200.0,38550.0,15200.0,39550.0,15400.0,38500.0,15100.0,39400.0,15200.0,194845,265114
2019-11-29,36581.43359375,15150.0,38450.0,15150.0,39150.0,15500.0,38100.0,15100.0,38850.0,15300.0,176941,309701
2019-12-02,36200.87109375,14900.0,38050.0,14900.0,38750.0,15250.0,37850.0,14750.0,38300.0,15050.0,113546,370104
2019-12-03,36105.73046875,15200.0,37950.0,15200.0,38350.0,15350.0,37100.0,14500.0,37450.0,14700.0,143082,540278
2019-12-04,36153.30078125,14750.0,38000.0,14750.0,38850.0,14950.0,37600.0,14700.0,37700.0,14800.0,231912,265592
2019-12-05,36533.86328125,14500.0,38400.0,14500.0,38500.0,14850.0,37700.0,14500.0,38050.0,14700.0,207803,301190
2019-12-06,36058.16015625,14750.0,37900.0,14750.0,38600.0,14800.0,37700.0,14500.0,38250.0,14500.0,146269,207339
2019-12-09,35297.04296875,14700.0,37100.0,14700.0,38100.0,14800.0,37050.0,14550.0,38100.0,14700.0,208553,218476
2019-12-10,35439.75,14800.0,37250.0,14800.0,37650.0,14800.0,36850.0,14600.0,37000.0,14650.0,135151,191582
2019-12-11,35297.04296875,15000.0,37100.0,15000.0,37400.0,15150.0,36850.0,14800.0,37400.0,14850.0,137437,249460
2019-12-12,35344.609375,15450.0,37150.0,15450.0,37550.0,15600.0,37050.0,15000.0,37250.0,15100.0,301681,541977
2019-12-13,35201.8984375,15550.0,37000.0,15550.0,37750.0,15600.0,36800.0,15350.0,37350.0,15450.0,315711,328505
2019-12-16,34345.63671875,15600.0,36100.0,15600.0,37200.0,15800.0,35700.0,15400.0,37200.0,15600.0,400635,368162
2019-12-17,34393.2109375,15300.0,36150.0,15300.0,36600.0,16250.0,35700.0,15250.0,36200.0,16150.0,206338,810635
2019-12-18,33584.515625,15950.0,35300.0,15950.0,36250.0,16050.0,35100.0,15150.0,36150.0,15300.0,338525,555849
2019-12-19,33346.6640625,15850.0,35050.0,15850.0,35400.0,16200.0,34900.0,15700.0,35300.0,16100.0,154437,508484
2019-12-20,33632.08203125,15900.0,35350.0,15900.0,35400.0,16150.0,34850.0,15800.0,35050.0,15950.0,183924,481392
2019-12-23,33299.09375,15550.0,35000.0,15550.0,35450.0,15850.0,34850.0,15250.0,35450.0,15800.0,165195,413140
2019-12-24,33061.2421875,15500.0,34750.0,15500.0,35150.0,16000.0,34350.0,15450.0,34850.0,15750.0,209353,360247
2019-12-26,32728.251953125,15650.0,34400.0,15650.0,35000.0,15750.0,34250.0,15550.0,34750.0,15600.0,156785,361216
2019-12-27,33203.953125,15700.0,34900.0,15700.0,35150.0,15850.0,34150.0,15400.0,34300.0,15600.0,176411,322411
2019-12-30,33346.6640625,15600.0,35050.0,15600.0,35450.0,15800.0,34400.0,15500.0,34850.0,15600.0,229919,367185
2020-01-02,33013.671875,15450.0,34700.0,15450.0,35300.0,15600.0,34650.0,15400.0,35300.0,15600.0,163331,313009
2020-01-03,33156.38671875,15450.0,34850.0,15450.0,35050.0,15700.0,34450.0,15350.0,34700.0,15500.0,206894,414893
2020-01-06,33441.8046875,14950.0,35150.0,14950.0,36000.0,15400.0,34850.0,14950.0,35000.0,15350.0,375881,570371
2020-01-07,32966.1015625,15050.0,34650.0,15050.0,35250.0,15350.0,34450.0,15050.0,35200.0,15050.0,163170,335907
2020-01-08,32442.833984375,14300.0,34100.0,14300.0,36450.0,15050.0,33550.0,14150.0,34900.0,15000.0,1092390,792494
2020-01-09,32633.111328125,15400.0,34300.0,15400.0,34350.0,15550.0,33600.0,14650.0,33600.0,14700.0,298343,694244
2020-01-10,32537.970703125,15600.0,34200.0,15600.0,34400.0,15700.0,33800.0,15250.0,34050.0,15400.0,242405,428378
2020-01-13,32680.685546875,17250.0,34350.0,17250.0,34900.0,17600.0,33950.0,15250.0,33950.0,15400.0,188416,3474466
2020-01-14,33774.796875,17150.0,35500.0,17150.0,35600.0,17500.0,34350.0,16850.0,34350.0,17450.0,376440,1102477
2020-01-15,33632.08203125,17450.0,35350.0,17450.0,35550.0,17650.0,34950.0,16950.0,35500.0,17150.0,261361,875528
