date,open,high,low,close,qty,value,sign,jongchk,rate,jiclose,
20230518,104700,106500,103300,103900,532144,55652,5,0,0.0,137700,
20230519,104200,107000,104000,106900,648131,68428,2,0,0.0,137700,
20230522,108800,112800,108600,111000,997093,110142,2,0,0.0,137700,
20230523,112200,112300,108000,110900,624682,68798,5,0,0.0,137700,
20230524,111200,112000,109000,110700,534248,58983,5,0,0.0,137700,
20230525,109500,110400,107400,108000,494665,53809,5,0,0.0,137700,
20230526,109800,110900,105600,106500,656878,70826,5,0,0.0,137700,
20230530,107900,109000,105000,105600,610126,64917,5,0,0.0,137700,
20230531,105600,107800,104100,106100,3344068,354838,2,0,0.0,137700,
20230601,106200,110800,106200,108000,738235,80043,2,0,0.0,137700,
20230602,108800,111200,108000,110800,648474,71296,2,0,0.0,137700,
20230605,111200,112400,108700,109200,373732,41034,5,0,0.0,137700,
20230607,109600,110900,107700,107800,515477,56020,5,0,0.0,137700,
20230608,108300,109400,107300,108200,461623,49975,2,0,0.0,137700,
20230609,108200,108300,107000,107100,421216,45271,5,0,0.0,137700,
20230612,108000,110400,107600,108200,637582,69468,2,0,0.0,137700,
20230613,108700,110400,105700,110000,787538,85601,2,0,0.0,137700,
20230614,110000,111800,109400,110700,557807,61677,2,0,0.0,137700,
20230615,110300,113800,109200,111400,723700,80676,2,0,0.0,137700,
20230616,112300,118000,112200,116800,1148530,132641,2,0,0.0,137700,
20230619,118300,138800,118200,137300,3449870,454454,2,0,0.0,137700,
20230620,137300,144200,135800,142500,2163105,302910,2,0,0.0,137700,
20230621,143900,147400,137900,138800,1579729,223119,5,0,0.0,137700,
20230622,139500,142000,135400,137700,952635,132334,5,0,0.0,137700,
20230623,137400,137500,133300,134400,650699,87591,5,0,0.0,137700,
