date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230110,112000,68100,68100,68000,68000,260,0,3,0,0.0,
20230110,112100,68100,68100,68000,68000,275,0,3,0,0.0,
20230110,112200,68100,68200,68000,68200,3596,0,2,0,0.0,
20230110,112300,68200,68200,68100,68200,785,0,2,0,0.0,
20230110,112400,68200,68200,68100,68100,1370,0,2,0,0.0,
20230110,112500,68200,68200,68100,68100,434,0,2,0,0.0,
20230110,112600,68100,68200,68100,68100,208,0,2,0,0.0,
20230110,112700,68100,68200,68100,68100,210,0,2,0,0.0,
20230110,112800,68200,68200,68000,68100,1283,0,2,0,0.0,
20230110,112900,68100,68100,68000,68000,1543,0,3,0,0.0,
20230110,113000,68100,68100,68000,68000,3165,0,3,0,0.0,
20230110,113100,68000,68100,68000,68000,689,0,3,0,0.0,
20230110,113200,68100,68100,68000,68100,226,0,2,0,0.0,
20230110,113300,68100,68100,68000,68000,640,0,3,0,0.0,
20230110,113400,68100,68100,68000,68000,273,0,3,0,0.0,
20230110,113500,68100,68100,67900,67900,6062,0,5,0,0.0,
20230110,113600,67900,68000,67900,67900,677,0,5,0,0.0,
20230110,113700,67900,68000,67800,67800,4285,0,5,0,0.0,
20230110,113800,67800,67900,67800,67800,352,0,5,0,0.0,
20230110,113900,67800,67800,67700,67700,5292,0,5,0,0.0,
20230110,114000,67800,67900,67700,67800,1533,0,5,0,0.0,
20230110,114100,67800,67900,67800,67800,563,0,5,0,0.0,
20230110,114200,67900,67900,67800,67900,375,0,5,0,0.0,
20230110,114300,67800,67900,67800,67900,712,0,5,0,0.0,
20230110,114400,67900,67900,67800,67800,271,0,5,0,0.0,
20230110,114500,67900,67900,67800,67800,679,0,5,0,0.0,
20230110,114600,67800,67900,67700,67700,662,0,5,0,0.0,
20230110,114700,67700,67800,67700,67800,289,0,5,0,0.0,
20230110,114800,67700,67800,67700,67800,880,0,5,0,0.0,
20230110,114900,67700,67800,67700,67700,871,0,5,0,0.0,
20230110,115000,67800,67900,67700,67800,1731,0,5,0,0.0,
20230110,115100,67800,67900,67800,67800,124,0,5,0,0.0,
20230110,115200,67800,67900,67800,67800,368,0,5,0,0.0,
20230110,115300,67900,67900,67800,67800,259,0,5,0,0.0,
20230110,115400,67900,67900,67800,67800,148,0,5,0,0.0,
20230110,115500,67900,67900,67800,67800,186,0,5,0,0.0,
20230110,115600,67800,67900,67800,67800,563,0,5,0,0.0,
20230110,115700,67900,67900,67800,67800,357,0,5,0,0.0,
20230110,115800,67900,67900,67800,67900,328,0,5,0,0.0,
20230110,115900,67900,67900,67800,67800,273,0,5,0,0.0,
20230110,120000,67800,67900,67800,67800,301,0,5,0,0.0,
20230110,120100,67900,67900,67800,67800,188,0,5,0,0.0,
20230110,120200,67900,67900,67800,67800,259,0,5,0,0.0,
20230110,120300,67800,67900,67800,67800,1364,0,5,0,0.0,
20230110,120400,67800,67900,67700,67700,1302,0,5,0,0.0,
20230110,120500,67800,67900,67700,67800,2686,0,5,0,0.0,
20230110,120600,67800,67900,67800,67800,404,0,5,0,0.0,
20230110,120700,67900,67900,67800,67800,100,0,5,0,0.0,
20230110,120800,67800,67900,67800,67800,267,0,5,0,0.0,
20230110,120900,67900,67900,67800,67800,201,0,5,0,0.0,
20230110,121000,67900,67900,67800,67800,157,0,5,0,0.0,
20230110,121100,67800,67900,67800,67900,238,0,5,0,0.0,
20230110,121200,67900,67900,67800,67900,180,0,5,0,0.0,
20230110,121300,67900,67900,67800,67900,239,0,5,0,0.0,
20230110,121400,67900,67900,67800,67800,175,0,5,0,0.0,
20230110,121500,67900,68100,67800,68000,3211,0,3,0,0.0,
20230110,121600,68000,68100,68000,68000,857,0,3,0,0.0,
20230110,121700,68000,68100,68000,68100,157,0,2,0,0.0,
20230110,121800,68100,68100,68000,68000,498,0,3,0,0.0,
20230110,121900,68000,68100,67800,67900,876,0,5,0,0.0,
20230110,122000,67900,67900,67800,67900,149,0,5,0,0.0,
20230110,122100,67900,67900,67800,67800,128,0,5,0,0.0,
20230110,122200,67800,67900,67800,67800,270,0,5,0,0.0,
20230110,122300,67900,67900,67800,67900,224,0,5,0,0.0,
20230110,122400,67900,67900,67800,67800,114,0,5,0,0.0,
20230110,122500,67900,67900,67800,67900,951,0,5,0,0.0,
20230110,122600,67800,67900,67800,67900,224,0,5,0,0.0,
20230110,122700,67800,67900,67800,67800,226,0,5,0,0.0,
20230110,122800,67900,67900,67800,67900,2465,0,5,0,0.0,
20230110,122900,67900,67900,67800,67900,418,0,5,0,0.0,
20230110,123000,68000,68000,67900,68000,293,0,3,0,0.0,
20230110,123100,68000,68000,67900,68000,164,0,3,0,0.0,
20230110,123200,68000,68000,67900,68000,82,0,3,0,0.0,
20230110,123300,68000,68000,67900,68000,254,0,3,0,0.0,
20230110,123400,68000,68000,67900,68000,208,0,3,0,0.0,
20230110,123500,68000,68000,67900,68000,276,0,3,0,0.0,
20230110,123600,67900,68000,67900,68000,172,0,3,0,0.0,
20230110,123700,68000,68000,67900,68000,630,0,3,0,0.0,
20230110,123800,68000,68000,67900,68000,370,0,3,0,0.0,
20230110,123900,68000,68000,67900,67900,280,0,5,0,0.0,
20230110,124000,67900,68000,67900,68000,319,0,3,0,0.0,
20230110,124100,68000,68000,67900,67900,218,0,5,0,0.0,
20230110,124200,68000,68000,67900,68000,252,0,3,0,0.0,
20230110,124300,67900,68000,67900,68000,1653,0,3,0,0.0,
20230110,124400,68000,68000,67900,68000,351,0,3,0,0.0,
20230110,124500,67900,68000,67900,68000,705,0,3,0,0.0,
20230110,124600,68000,68100,68000,68100,135,0,2,0,0.0,
20230110,124700,68100,68100,68000,68000,558,0,3,0,0.0,
20230110,124800,68000,68200,68000,68200,719,0,2,0,0.0,
20230110,124900,68100,68200,68100,68200,978,0,2,0,0.0,
20230110,125000,68200,68200,68100,68100,196,0,2,0,0.0,
20230110,125100,68100,68200,68100,68200,496,0,2,0,0.0,
20230110,125200,68100,68100,68000,68100,516,0,2,0,0.0,
20230110,125300,68000,68100,68000,68000,309,0,3,0,0.0,
20230110,125400,68100,68100,68000,68000,153,0,3,0,0.0,
20230110,125500,68000,68100,68000,68000,145,0,3,0,0.0,
20230110,125600,68000,68100,68000,68000,241,0,3,0,0.0,
20230110,125700,68000,68100,68000,68100,326,0,2,0,0.0,
20230110,125800,68000,68100,68000,68100,232,0,2,0,0.0,
20230110,125900,68100,68100,68000,68100,824,0,2,0,0.0,
20230110,130000,68100,68100,68000,68100,374,0,2,0,0.0,
20230110,130100,68100,68100,68000,68000,336,0,3,0,0.0,
20230110,130200,68100,68100,68000,68100,193,0,2,0,0.0,
20230110,130300,68100,68100,68000,68000,169,0,3,0,0.0,
20230110,130400,68100,68100,68000,68000,264,0,3,0,0.0,
20230110,130500,68100,68100,68000,68100,196,0,2,0,0.0,
20230110,130600,68000,68100,68000,68000,180,0,3,0,0.0,
20230110,130700,68100,68100,68000,68100,287,0,2,0,0.0,
20230110,130800,68100,68100,68000,68000,252,0,3,0,0.0,
20230110,130900,68000,68100,68000,68000,887,0,3,0,0.0,
20230110,131000,68100,68100,68000,68000,188,0,3,0,0.0,
20230110,131100,68000,68100,68000,68000,423,0,3,0,0.0,
20230110,131200,68000,68100,68000,68000,228,0,3,0,0.0,
20230110,131300,68100,68100,68000,68000,236,0,3,0,0.0,
20230110,131400,68000,68100,68000,68100,210,0,2,0,0.0,
